mjd	field
60497.41666674163	ElaisS1
60503.41666674233	ElaisS1
60509.416666743025	ElaisS1
60516.38888896606	ElaisS1
60519.20833341083	ElaisS1
60525.361111189326	ElaisS1
60532.33333341236	ElaisS1
60538.37500007973	ElaisS1
60538.40277785751	ElaisS1
60545.069444524954	ElaisS1
60547.12500008075	ElaisS1
60554.27777785936	ElaisS1
60561.26388897128	ElaisS1
60568.38888897211	ElaisS1
60568.38888897211	ElaisS1
60574.05555563944	ElaisS1
60580.20833341793	ElaisS1
60585.194444529625	ElaisS1
60591.18055564143	ElaisS1
60596.33333341981	ElaisS1
60602.01388897603	ElaisS1
60609.125000087966	ElaisS1
60616.11111119989	ElaisS1
60623.25000008961	ElaisS1
60625.291666756515	ElaisS1
60632.0416667573	ElaisS1
60638.05555564689	ElaisS1
60645.055555647705	ElaisS1
60651.16666675953	ElaisS1
60654.06944453764	ElaisS1
60661.05555564957	ElaisS1
60667.06944453916	ElaisS1
60673.069444539855	ElaisS1
60679.083333429444	ElaisS1
60825.41666677981	ElaisS1
60832.41666678063	ElaisS1
60840.40277789267	ElaisS1
60846.361111226695	ElaisS1
60852.416666782956	ElaisS1
60858.416666783654	ElaisS1
60864.41666678435	ElaisS1
60871.40277789628	ElaisS1
60875.23611123006	ElaisS1
60881.37500011966	ElaisS1
60887.36111123147	ElaisS1
60893.40277789884	ElaisS1
60893.41666678773	ElaisS1
60900.34722234409	ElaisS1
60902.15277789986	ElaisS1
60909.30555567847	ElaisS1
60915.291666790275	ElaisS1
60922.388889013324	ElaisS1
60929.08333345855	ElaisS1
60935.23611123704	ElaisS1
60940.22222234873	ElaisS1
60946.20833346054	ElaisS1
60951.36111123892	ElaisS1
60957.013889017355	ElaisS1
60963.15277790696	ElaisS1
60968.13888901865	ElaisS1
60974.13888901935	ElaisS1
60979.277777908836	ElaisS1
60981.31944457574	ElaisS1
60989.04166679886	ElaisS1
60995.06944457734	ElaisS1
61000.05555568903	ElaisS1
61006.194444578636	ElaisS1
61006.208333467526	ElaisS1
61009.06944457897	ElaisS1
61016.055555690895	ElaisS1
61022.05555569159	ElaisS1
61029.0694445813	ElaisS1
61035.069444582	ElaisS1
61035.069444582	ElaisS1
61039.08333347135	ElaisS1
61046.06944458328	ElaisS1
61235.40277793865	ElaisS1
61241.38888905046	ElaisS1
61247.41666682894	ElaisS1
61254.37500016308	ElaisS1
61258.18055571908	ElaisS1
61264.333333497576	ElaisS1
61271.3194446095	ElaisS1
61277.40277794354	ElaisS1
61284.083333499875	ElaisS1
61285.11111127777	ElaisS1
61292.25000016749	ElaisS1
61299.23611127942	ElaisS1
61306.37500016914	ElaisS1
61312.04166683646	ElaisS1
61318.18055572607	ElaisS1
61323.16666683776	ElaisS1
61329.18055572735	ElaisS1
61334.305555727944	ElaisS1
61334.305555727944	ElaisS1
61341.02777795095	ElaisS1
61348.097222396216	ElaisS1
61355.08333350814	ElaisS1
61362.23611128675	ElaisS1
61363.26388906465	ElaisS1
61370.041666843215	ElaisS1
61376.055555732804	ElaisS1
61383.05555573362	ElaisS1
61389.15277795655	ElaisS1
61393.083333512564	ElaisS1
61400.06944462449	ElaisS1
61406.06944462519	ElaisS1
61411.06944462577	ElaisS1
61417.06944462647	ElaisS1
61562.41666686561	ElaisS1
61572.416666866775	ElaisS1
61572.416666866775	ElaisS1
61579.4027779787	ElaisS1
61584.3750002015	ElaisS1
61590.41666686887	ElaisS1
61595.41666686945	ElaisS1
61601.41666687015	ElaisS1
61608.388889093185	ElaisS1
61613.20833353819	ElaisS1
61619.361111316684	ElaisS1
61625.34722242849	ElaisS1
61631.40277798475	ElaisS1
61638.333333541115	ElaisS1
61640.13888909688	ElaisS1
61647.2777779866	ElaisS1
61653.26388909841	ElaisS1
61660.38888909924	ElaisS1
61667.05555576668	ElaisS1
61668.0555557668	ElaisS1
61675.20833354541	ElaisS1
