mjd	field
62478.16666651389	ECDFS
62485.24999984681	ECDFS
62487.1249998467	ECDFS
62494.124999846295	ECDFS
62501.083333179224	ECDFS
62508.083333178816	ECDFS
62515.08333317841	ECDFS
62515.08333317841	ECDFS
62517.08333317829	ECDFS
62524.083333177885	ECDFS
62530.083333177536	ECDFS
62536.08333317719	ECDFS
62542.08333317684	ECDFS
62547.04166650988	ECDFS
62554.041666509474	ECDFS
62560.041666509125	ECDFS
62566.041666508776	ECDFS
62566.041666508776	ECDFS
62710.41666650037	ECDFS
62716.41666650002	ECDFS
62723.37499983295	ECDFS
62723.37499983295	ECDFS
62730.374999832544	ECDFS
62732.37499983243	ECDFS
62739.37499983202	ECDFS
62746.37499983161	ECDFS
62753.33333316454	ECDFS
62760.33333316413	ECDFS
62761.333333164075	ECDFS
62768.37499983033	ECDFS
62775.291666496596	ECDFS
62782.33333316285	ECDFS
62789.24999982912	ECDFS
62791.12499982901	ECDFS
62798.29166649526	ECDFS
62805.20833316152	ECDFS
62812.33333316111	ECDFS
62812.33333316111	ECDFS
62819.04166649405	ECDFS
62826.2083331603	ECDFS
62832.12499982662	ECDFS
62839.29166649287	ECDFS
62841.16666649276	ECDFS
62848.083333159026	ECDFS
62855.08333315862	ECDFS
62862.124999824875	ECDFS
62869.0833331578	ECDFS
62871.08333315769	ECDFS
62878.08333315728	ECDFS
62884.08333315693	ECDFS
62891.08333315652	ECDFS
62897.08333315617	ECDFS
62903.083333155824	ECDFS
62910.04166648875	ECDFS
62915.04166648846	ECDFS
62920.04166648817	ECDFS
62925.04166648788	ECDFS
63066.41666647965	ECDFS
63072.4166664793	ECDFS
63079.41666647889	ECDFS
63086.416666478486	ECDFS
63092.37499981147	ECDFS
63097.37499981118	ECDFS
63103.37499981083	ECDFS
63108.37499981054	ECDFS
63108.37499981054	ECDFS
63115.374999810134	ECDFS
63121.33333314312	ECDFS
63126.37499980949	ECDFS
63132.374999809144	ECDFS
63137.37499980885	ECDFS
63138.374999808795	ECDFS
63145.249999808395	ECDFS
63152.24999980799	ECDFS
63159.291666474244	ECDFS
63166.3333331405	ECDFS
63166.3333331405	ECDFS
63171.24999980688	ECDFS
63179.08333313976	ECDFS
63184.166666472796	ECDFS
63189.166666472505	ECDFS
63194.29166647221	ECDFS
63195.33333313881	ECDFS
63202.08333313842	ECDFS
63209.16666647134	ECDFS
63216.083333137605	ECDFS
63223.12499980386	ECDFS
63230.124999803455	ECDFS
63233.083333136616	ECDFS
63239.08333313627	ECDFS
63246.08333313586	ECDFS
63252.08333313551	ECDFS
63252.08333313551	ECDFS
63256.08333313528	ECDFS
63263.08333313487	ECDFS
63269.08333313452	ECDFS
63274.08333313423	ECDFS
63280.041666467216	ECDFS
63286.04166646687	ECDFS
63293.04166646646	ECDFS
63421.41666645899	ECDFS
63427.41666645864	ECDFS
63433.41666645829	ECDFS
63440.41666645788	ECDFS
63441.41666645782	ECDFS
63448.416666457415	ECDFS
63455.37499979034	ECDFS
63462.374999789936	ECDFS
63463.37499978988	ECDFS
63470.37499978947	ECDFS
63476.37499978912	ECDFS
63481.333333122166	ECDFS
63487.33333312182	ECDFS
63492.37499978819	ECDFS
63499.291666454454	ECDFS
59857.33333333311	ElaisS1
59864.166666666046	ElaisS1
59865.041666665995	ElaisS1
59872.124999998916	ElaisS1
59878.12499999857	ElaisS1
59885.12499999816	ElaisS1
59885.20833333149	ElaisS1
59886.08333333144	ElaisS1
59894.08333333097	ElaisS1
59901.08333333056	ElaisS1
59908.04166666349	ElaisS1
59915.08333332975	ElaisS1
59918.083333329574	ElaisS1
59925.08333332917	ElaisS1
59931.12499999548	ElaisS1
59936.083333328526	ElaisS1
59942.08333332818	ElaisS1
59947.083333327886	ElaisS1
59954.08333332748	ElaisS1
60090.416666652876	ElaisS1
60097.41666665247	ElaisS1
60102.41666665218	ElaisS1
60110.333333318384	ElaisS1
60116.41666665136	ElaisS1
60121.41666665107	ElaisS1
60126.41666665078	ElaisS1
60126.41666665078	ElaisS1
60133.41666665037	ElaisS1
60139.416666650024	ElaisS1
60144.41666664973	ElaisS1
60150.37499998272	ElaisS1
60155.37499998243	ElaisS1
60155.37499998243	ElaisS1
60162.33333331536	ElaisS1
60169.33333331495	ElaisS1
60176.29166664788	ElaisS1
60183.3749999808	ElaisS1
60183.3749999808	ElaisS1
60184.29166664741	ElaisS1
60191.208333313676	ElaisS1
60197.24999997999	ElaisS1
60202.2499999797	ElaisS1
60208.20833331269	ElaisS1
60213.37499997905	ElaisS1
60219.04166664539	ElaisS1
60226.166666644975	ElaisS1
60233.16666664457	ElaisS1
60240.29166664415	ElaisS1
60241.12499997744	ElaisS1
60248.0416666437	ElaisS1
60259.083333309725	ElaisS1
60265.083333309376	ElaisS1
60270.083333309085	ElaisS1
60277.08333330868	ElaisS1
60279.08333330856	ElaisS1
60285.08333330821	ElaisS1
60292.12499997447	ElaisS1
60298.083333307455	ElaisS1
60301.08333330728	ElaisS1
60308.08333330687	ElaisS1
60315.12499997313	ElaisS1
60321.08333330612	ElaisS1
60494.41666662936	ElaisS1
60499.41666662907	ElaisS1
60505.41666662872	ElaisS1
60510.41666662843	ElaisS1
60510.41666662843	ElaisS1
60517.33333329469	ElaisS1
60524.37499996095	ElaisS1
60531.33333329388	ElaisS1
60538.374999960135	ElaisS1
60545.2916666264	ElaisS1
60546.24999995968	ElaisS1
60553.29166662593	ElaisS1
60560.24999995886	ElaisS1
60567.37499995845	ElaisS1
60574.20833329138	ElaisS1
60575.08333329133	ElaisS1
60582.20833329092	ElaisS1
60589.166666623845	ElaisS1
60596.333333290095	ElaisS1
60603.04166662304	ElaisS1
60609.12499995602	ElaisS1
60614.124999955726	ElaisS1
60620.08333328871	ElaisS1
